rank,name,id,bubble,reviewCount,priceRange,claimed,travelers,photos,thefork,justeat,cuisines,diets,meals,features,neigh,excellent,verygood,average,poor,terrible,revEnglish,revSpanish
191,Pizza Natura,d23547260,5.0,348,$$ - $$$,True,True,237,True,True,"Italian, Pizza, Healthy",Vegetarian Friendly,"Lunch, Dinner",,,42,1,0,0,0,43,292
192,Meson Restaurante La Mi Venta,d1511527,4.5,3007,$$ - $$$,True,True,2128,False,False,"Mediterranean, European, Spanish","Vegetarian Friendly, Gluten Free Options","Lunch, Dinner, Brunch","Seating, Highchairs Available, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Private Dining, Accepts Credit Cards, Table Service",Austrias,873,169,47,13,10,1112,734
193,Coque,d12864731,4.5,477,$$$$,True,True,1306,False,False,"Spanish, Mediterranean, European, Healthy, International",Gluten Free Options,,,Chamberi,49,8,3,2,4,66,378
194,Da Luca,d7787661,4.5,452,$$ - $$$,True,False,141,True,True,"Italian, Pizza, Mediterranean, European, Romana, Lazio, Sicilian, Central-Italian, Southern-Italian","Vegan Options, Gluten Free Options, Vegetarian Friendly","Breakfast, Lunch, Dinner",,,28,7,3,1,0,39,383
195,The Irish Temple,d23685570,5.0,108,$$ - $$$,True,True,49,False,True,American,Vegan Options,"Lunch, Dinner, Brunch, Drinks",,0.7 miles from Parque del Retiro,1,0,0,0,1,2,106
196,Holi House,d20517214,5.0,79,$$ - $$$,True,False,41,True,False,Indian,"Vegan Options, Vegetarian Friendly",,,Ciudad Universitaria,15,0,0,0,0,15,62
197,Restaurante El Flaco,d10083272,4.5,468,$$ - $$$,True,False,572,True,False,"International, Asian, Thai, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Chamartin,20,4,0,1,0,25,432
198,Campesino Burger Al Carbón,d10161466,4.5,240,$,True,False,211,False,False,"International, Fusion, American","Vegetarian Friendly, Vegan Options",,,Embajadores,32,9,4,0,0,45,165
199,Restaurante Sagar,d3537317,4.5,705,$$ - $$$,True,False,369,True,True,Indian,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Salamanca (District),70,33,5,3,2,113,581
200,El Sueno de Carmen,d23990622,5.0,147,$$ - $$$,True,True,133,False,False,"Mediterranean, Spanish",,"Breakfast, Lunch, Dinner, Brunch",,0.6 miles from Puerta de Toledo,7,0,0,0,0,7,136
201,Divino Tinto,d8727668,4.5,278,$$ - $$$,True,False,216,False,False,"Mediterranean, European, Spanish, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner",,Legazpi,12,0,0,0,0,12,260
202,Cerveceria La Mayor,d1811145,4.5,439,$$ - $$$,True,False,455,False,False,"Bar, European, Spanish, Pub",Vegetarian Friendly,"Lunch, Dinner, Late Night, Drinks",,La Latina,87,27,7,1,2,124,121
203,Indian Aroma,d1015592,4.5,848,$$ - $$$,True,True,362,True,False,"Indian, Asian, Balti","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night, Drinks","Takeout, Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",Huertas,277,101,33,9,5,425,333
204,Restaurante Gala,d2660048,4.5,305,$$ - $$$,True,False,209,True,False,"Mediterranean, European, Spanish, International, Contemporary","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night, Drinks",,Chamberi,7,5,0,0,0,12,280
205,Restaurante Rias Bajas,d2185881,4.5,714,$$ - $$$,True,False,352,True,True,"Spanish, Grill",Gluten Free Options,,,Chamartin,19,12,1,1,0,33,629
